"factor","item","est","std_loading","weak_loading"
"F_Collegiality","q337",0.734,0.914,FALSE
"F_Collegiality","q338",0.641,0.868,FALSE
"F_Collegiality","q336",0.579,0.842,FALSE
"F_Collegiality","q339",0.575,0.792,FALSE
"F_Collegiality","q341",0.489,0.733,FALSE
"F_Collegiality","q340",0.627,0.687,FALSE
"F_Discipline","q351",0.682,0.878,FALSE
"F_Discipline","q350",0.7,0.799,FALSE
"F_Discipline","q352",0.61,0.746,FALSE
"F_Discipline","q353",0.588,0.695,FALSE
"F_Discipline","q349",0.427,0.552,FALSE
"F_Discipline","q354",-0.617,-0.676,TRUE
"F_Fairness","q358",0.722,0.887,FALSE
"F_Fairness","q357",0.637,0.859,FALSE
"F_Fairness","q360",0.421,0.764,FALSE
"F_Fairness","q359",0.423,0.721,FALSE
"F_Fairness","q355",0.341,0.435,FALSE
"F_Families","q365",0.503,0.848,FALSE
"F_Families","q364",0.443,0.798,FALSE
"F_Families","q362",0.362,0.631,FALSE
"F_Families","q363",0.363,0.587,FALSE
"F_PeerRelations","q324",0.61,0.884,FALSE
"F_PeerRelations","q322",0.522,0.794,FALSE
"F_PeerRelations","q323",0.491,0.755,FALSE
"F_PeerRelations","q321",0.51,0.754,FALSE
"F_SeekHelp","q330",0.516,0.788,FALSE
"F_SeekHelp","q333",0.565,0.748,FALSE
"F_SeekHelp","q329",0.397,0.721,FALSE
"F_SeekHelp","q331",0.482,0.682,FALSE
"F_SeekHelp","q332",0.44,0.651,FALSE
"F_StudentAdultRespect","q373",0.532,0.856,FALSE
"F_StudentAdultRespect","q374",0.483,0.847,FALSE
"F_StudentAdultRespect","q371",0.402,0.7,FALSE
"F_StudentAdultRespect","q372",0.39,0.567,FALSE
"F_StudentEngagement","q319",0.602,0.747,FALSE
"F_StudentEngagement","q316",0.445,0.689,FALSE
"F_StudentEngagement","q317",0.452,0.677,FALSE
"F_StudentEngagement","q318",0.391,0.588,FALSE
"F_StudentEngagement","q320",0.269,0.46,FALSE
"F_TeasingBullying","q344",0.781,0.931,FALSE
"F_TeasingBullying","q345",0.721,0.907,FALSE
"F_TeasingBullying","q346",0.664,0.846,FALSE
"F_TeasingBullying","q343",0.683,0.802,FALSE
"F_TeasingBullying","q342",0.572,0.796,FALSE
"F_TeasingBullying","q347",0.663,0.763,FALSE
"F_TeasingBullying","q348",0.506,0.628,FALSE
