"factor","item","est","std_loading","weak_loading"
"Belonging","q382",0.708,0.819,FALSE
"Belonging","q383",0.673,0.795,FALSE
"Belonging","q376",0.587,0.78,FALSE
"Belonging","q377",0.506,0.646,FALSE
"Belonging","q384",0.443,0.6,FALSE
"Belonging","q378",0.456,0.514,FALSE
"Belonging","q379",0.36,0.439,FALSE
"Fairness","q288",0.706,0.829,FALSE
"Fairness","q289",0.679,0.819,FALSE
"Fairness","q287",0.692,0.818,FALSE
"Fairness","q286",0.391,0.466,FALSE
"PeerClimate","q265",0.767,0.858,FALSE
"PeerClimate","q264",0.777,0.846,FALSE
"PeerClimate","q267",0.744,0.817,FALSE
"PeerClimate","q266",0.654,0.747,FALSE
"PeerClimate","q393",0.401,0.386,TRUE
"Safety","q257",0.664,0.831,FALSE
"Safety","q260",0.565,0.694,FALSE
"Safety","q258",0.6,0.678,FALSE
"Safety","q259",0.545,0.593,FALSE
"Safety","q261",0.443,0.553,FALSE
"TeacherAdult","q275",0.606,0.762,FALSE
"TeacherAdult","q273",0.496,0.74,FALSE
"TeacherAdult","q375",0.485,0.725,FALSE
"TeacherAdult","q271",0.482,0.718,FALSE
"TeacherAdult","q274",0.487,0.668,FALSE
"TeacherAdult","q277",0.555,0.661,FALSE
"TeacherAdult","q272",0.474,0.637,FALSE
"TeacherAdult","q276",0.507,0.587,FALSE
"TeacherAdult","q279",0.391,0.559,FALSE
"TeacherAdult","q278",0.418,0.547,FALSE
